code,topic,variant,n_sessions,qid,subpart_id,n_words,text
10S,Malaria 3,e6db15586c,25,Q1,Q1.2,42,"When pregnant women do come for ANC visits at your facility or in your area, how consistently do they receive an ITN or Intermittent Preventive Treatment in pregnancy (IPTp)? Roughly what proportion of pregnant women do you think receive these through ANC?"
10S,Malaria 3,e6db15586c,25,Q1,Q1.3,45,"When caregivers bring their children under 5 for immunization visits under the EPI programme, how often do those children also receive an ITN? Out of every 10 children under 5 who come for immunization, roughly how many do you think go home with a bednet?"
10S,Malaria 3,e6db15586c,25,Q1,Q1.4,25,How often do you see or hear of children between 5 and 15 years old dying from malaria in your catchment area? What about adults?
10S,Malaria 3,e6db15586c,25,Q1,Q1.5,34,"Have you heard of rectal artesunate? If yes, what is your sense of whether caregivers in your catchment area would be willing to accept and use it for a child with suspected severe malaria?"
10S,Malaria 3,e6db15586c,25,Q1,Q1.6,41,"When you identify a child under 5 with danger signs of severe malaria and refer them to a hospital, what proportion of the caregivers actually end up reaching the hospital? For those who don't go, what reasons do caregivers typically give?"
10S,Malaria 3,e6db15586c,25,Q1,Q1.7,33,"How often do you find yourself without the supplies you need to test and treat malaria (mRDTs or ACTs)? When that happens, what do you tell patients who come to you seeking care?"
11,Water & Diarrhea 2,3c03ca35d3,363,Q1,Q1.1,14,Roughly how many children under the age of 5 live in your catchment area?
11,Water & Diarrhea 2,3c03ca35d3,363,Q1,Q1.2,57,"When a child under 5 in your catchment area has diarrhea, what do families typically do first? And what would you personally advise them to do? Out of every 10 families, how many do you think would : 1) wait and see 2) seek your advice 3) use ORS 4) use antibiotics or 5) try something else?"
11,Water & Diarrhea 2,3c03ca35d3,363,Q1,Q1.3,34,"How familiar are families in your community with Oral Rehydration Solution (ORS) as a diarrhea treatment? Out of every 10 families, how many would prepare a homemade solution i.e. sugar/salt water instead of ORS?"
11,Water & Diarrhea 2,3c03ca35d3,363,Q1,Q1.4,25,"What is the main source of drinking water for most households in your catchment area - for example, a well, piped connection, or something else?"
11,Water & Diarrhea 2,3c03ca35d3,363,Q1,Q1.5,33,"Do families in your area buy their drinking water - such as sachet or pouch water? If so, roughly how much do they spend, and who in the household tends to drink it?"
11,Water & Diarrhea 2,3c03ca35d3,363,Q1,Q1.6,36,"Out of every 10 households, how many do you think treat their water with chlorine? For those who do, how do they usually do it? For example, using a dispenser, chlorine tablets, or a liquid solution?"
11,Water & Diarrhea 2,3c03ca35d3,363,Q1,Q1.7,28,How common is it for families in your catchment area to consult a traditional healer or patent medicine vendor before coming to you when a child has diarrhea?
11,Water & Diarrhea 2,3c03ca35d3,363,Q1,Q1.8,26,"Are there particular times of year such as after rains or during harvest season, when you see a spike in diarrhea cases among children under 5?"
11,Water & Diarrhea 2,3c03ca35d3,363,Q1,Q1.9,26,"How do families in your catchment area typically dispose of a young child's faeces? Is it discarded in the open, buried, or handled in another way?"
11,Water & Diarrhea 2,3c03ca35d3,363,Q1,Q1.10,28,"How far do most families in your catchment area live from their nearest water source, and does that distance affect how much water they collect and use daily?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.1,14,Roughly how many children under the age of 5 live in your catchment area?
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.2,50,"When a child under 5 has diarrhea, what do these families do first? How many in your catchment area do you think would: 1) wait and see 2) seek your advice 3) use ORS 4) use antibiotics or 5) try something else? What would you personally advise them to do?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.3,61,"How familiar are families in your community with Oral Rehydration Solution (ORS) as a diarrhea treatment? Out of every 10 families, how many would prepare a homemade solution i.e. sugar/salt water instead of ORS? For those who do, how confident are you that they know the correct proportions and do they generally have reliable access to sugar and salt at home?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.4,25,"What is the main source of drinking water for most households in your catchment area - for example, a well, piped connection, or something else?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.5,60,"Out of all the water a typical family in your catchment area drinks in a day, how much of it would you say is purchased such as sachet or pouch water, versus water they collect for free? For the water they do buy, roughly how much do they spend in a month? Who in the household tends to drink it?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.6,48,"How do families in your catchment area typically dispose of a young child's faeces? Is it discarded in the open, buried, or handled in another way? And when they are away from home, such as in a farm or market, what do they usually do with it then?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.7,40,"How common is it for families in your catchment area to consult a traditional healer or patent medicine vendor before coming to you when a child has diarrhea? If a traditional healer is consulted, what advice is offered by them?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.8,66,"Think about how many households are in your catchment, how many do you think treat their water with chlorine? For those who do, how do they usually do it? For example, using a dispenser, chlorine tablets, or a liquid solution? For those who do not do chlorination, what might be the possible reason for that? Do they use any other treatment methods like boiling, filtration, etc.?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.9,26,"Are there particular times of year such as after rains or during harvest season, when you see a spike in diarrhea cases among children under 5?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.10,28,"How far do most families in your catchment area live from their nearest water source, and does that distance affect how much water they collect and use daily?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.11,13,"In your community, what do people typically believe causes diarrhea in young children?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.12,43,"Are there certain times or scenarios where families in your catchment area consider diarrhea normal or not serious enough to act on? Out of every 10 caregivers, how many do you think would wait and see rather than seek help in those situations?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.13,56,"What signs in a child with diarrhea would prompt a caregiver in your community to seek care from you or a health facility? Out of every 10 families, how many do you think would recognize danger signs like sunken eyes, a dry mouth, infrequent urination, or a child who cannot drink and act on them promptly?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.14,35,"When a caregiver believes diarrhea has a spiritual cause, how does that affect whether they seek formal care? Have you found ways to counsel families who hold that belief while still getting the child treated?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.15,29,"Can you tell me about a child under 5 who you saw recently with severe diarrhea — what happened, and what did the family do before coming to you?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.16,29,"Do families in your area wash their hands before preparing food or feeding a young child? Out of every 10 families, how many do you think do this regularly?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.17,28,Are there families in your community who do not have any toilet or latrine — where do they and their children go when they need to relieve themselves?
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.18,30,"When children under 5 have diarrhea, do families in your area continue to feed them normally, or do they reduce or stop feeding? What do you advise them to do?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.19,39,"Do families in your area receive any support — from the government, an NGO, or another organisation — to improve their access to clean water or sanitation? If yes, what kind of support, and does it reach most families?"
11L,Water & Diarrhea 4,82f59a4d88,21,Q1,Q1.20,25,How confident do you feel that families in your catchment area know when diarrhea in a child is serious enough to require immediate medical attention?
11S,Water & Diarrhea 3,9d3063daa5,32,Q1,Q1.1,14,Roughly how many children under the age of 5 live in your catchment area?
11S,Water & Diarrhea 3,9d3063daa5,32,Q1,Q1.2,50,"When a child under 5 has diarrhea, what do these families do first? How many in your catchment area do you think would: 1) wait and see 2) seek your advice 3) use ORS 4) use antibiotics or 5) try something else? What would you personally advise them to do?"
11S,Water & Diarrhea 3,9d3063daa5,32,Q1,Q1.3,61,"How familiar are families in your community with Oral Rehydration Solution (ORS) as a diarrhea treatment? Out of every 10 families, how many would prepare a homemade solution i.e. sugar/salt water instead of ORS? For those who do, how confident are you that they know the correct proportions and do they generally have reliable access to sugar and salt at home?"
11S,Water & Diarrhea 3,9d3063daa5,32,Q1,Q1.4,25,"What is the main source of drinking water for most households in your catchment area - for example, a well, piped connection, or something else?"
11S,Water & Diarrhea 3,9d3063daa5,32,Q1,Q1.5,60,"Out of all the water a typical family in your catchment area drinks in a day, how much of it would you say is purchased such as sachet or pouch water, versus water they collect for free? For the water they do buy, roughly how much do they spend in a month? Who in the household tends to drink it?"
11S,Water & Diarrhea 3,9d3063daa5,32,Q1,Q1.6,48,"How do families in your catchment area typically dispose of a young child's faeces? Is it discarded in the open, buried, or handled in another way? And when they are away from home, such as in a farm or market, what do they usually do with it then?"
11S,Water & Diarrhea 3,9d3063daa5,32,Q1,Q1.7,40,"How common is it for families in your catchment area to consult a traditional healer or patent medicine vendor before coming to you when a child has diarrhea? If a traditional healer is consulted, what advice is offered by them?"
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.1,17,What is the most common complaint you hear about health care from the people that you serve?
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.2,14,What are your main responsibilities as a community health worker? Please describe in detail.
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.3,14,What does a normal working day look like for you? Please describe in detail.
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.4,13,Do you feel your workload as a Community Health Worker (CHW) is manageable?
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.5,9,How many days a week do you usually work?
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.6,19,"On days when you work as a Community Health Worker (CHW), how many hours a day do you work?"
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.7,36,"Are there times of year when you can't do your work (e.g. due to farming season, rains, security concerns)? If so, describe the times of year and the reasons you aren't able to do your work."
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.8,21,"When nets or SMC campaigns occur, how does this affect your workload? Are you still able to complete your main responsibilities?"
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.9,13,What are the 3 main crops that families in your catchment area farm?
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.10,27,What is the most common way that households get fertilizer in your catchment area? Around how much does it cost to buy one kilogram of fertilizer locally?
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.11,24,How do most families in your community get their seeds for farming? What is the most common way to sell the crops once harvested?
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.12,20,"Are there any government programs happening in your community aimed to benefit farmers? If yes, please describe them in detail."
12,Community & FLW Profile 2,76863cec80,325,Q1,Q1.13,20,"Are there any NGO programs happening in your community aimed to benefit farmers? If yes, please describe them in detail."
13,Medicine Quality and Counterfeiting 2,1816127f32,188,Q1,Q1.1,35,"Have you ever heard of fake medicines or counterfeit drugs (in other words, medicines that don't work or are not what they claim to be)? Have you experienced this issue with Artemisinin-based Combination Therapies (ACTs)?"
13,Medicine Quality and Counterfeiting 2,1816127f32,188,Q1,Q1.2,47,"Do you think fake medicines are a problem in your catchment area? If so, where do you think these fake medicines come from? Out of every 10 medicine sellers or medicine stalls you know of, how many do you think might be selling medicines that are fake?"
13,Medicine Quality and Counterfeiting 2,1816127f32,188,Q1,Q1.3,9,How can someone identify if a medicine is fake?
13,Medicine Quality and Counterfeiting 2,1816127f32,188,Q1,Q1.4,17,Have you ever personally seen a medicine that you thought might be fake or of poor quality?
13,Medicine Quality and Counterfeiting 2,1816127f32,188,Q1,Q1.5,18,"When you recommend a medicine to someone, how confident are you that they are getting the real medication?"
13,Medicine Quality and Counterfeiting 2,1816127f32,188,Q1,Q1.6,18,Do people in your community tell you that they think medicines are fake? How often does this happen?
13,Medicine Quality and Counterfeiting 2,1816127f32,188,Q1,Q1.7,21,"If people think medicines are fake, what do they do? (E.g. not use medicine? Go to a specific pharmacy they trust?)"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.1,35,"Have you ever heard of fake medicines or counterfeit drugs (in other words, medicines that don't work or are not what they claim to be)? Have you experienced this issue with Artemisinin-based Combination Therapies (ACTs)?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.2,47,"Do you think fake medicines are a problem in your catchment area? If so, where do you think these fake medicines come from? Out of every 10 medicine sellers or medicine stalls you know of, how many do you think might be selling medicines that are fake?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.3,9,How can someone identify if a medicine is fake?
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.4,17,Have you ever personally seen a medicine that you thought might be fake or of poor quality?
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.5,18,"When you recommend a medicine to someone, how confident are you that they are getting the real medication?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.6,18,Do people in your community tell you that they think medicines are fake? How often does this happen?
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.7,49,"If people think medicines are fake, what do they do? (E.g. not use medicine? Go to a specific pharmacy they trust?)Can you describe the last time you or someone you know suspected that a medicine might be fake or not working? What happened, and what did the person do?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.8,27,"Have you heard of fake malaria rapid diagnostic tests (RDTs) — test kits that give a wrong result? If yes, have you seen this in your area?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.9,36,"When you buy medicines at a pharmacy or from a community medicine seller, what do you look at to check whether the medicine is genuine — for example, the packaging, the seal, or the expiry date?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.10,28,"In your area, do people tend to trust medicines from government health facilities more, or from private pharmacies and community medicine sellers? Why do you think that is?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.11,36,"Overall, how confident are people in your community that the medicines available to them — whether from health facilities or local sellers — are good quality and will work? What do you think shapes that confidence?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.12,34,"Do you know if there is any government system in your area for checking or reporting fake medicines — for example, an inspector, a hotline, or a reporting form? Have you ever used it?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.13,25,Have you ever had to decide whether a medicine that was possibly not good quality was still okay to give out? What did you do?
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.14,31,Do cheaper medicines tend to be seen as lower quality in your community? Can you give an example of a medicine where people think the price affects how well it works?
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.15,25,"In your experience, are imported medicines seen as better quality than locally manufactured ones, or the other way around? What do people say about this?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.16,29,"Have you ever seen medicines being sold from unofficial sources — for example, at a market stall, from a vehicle, or door-to-door? How common is this in your area?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.17,31,"When a child's malaria symptoms do not improve after treatment, what do caregivers in your area typically think is the reason — is it the medicine, the illness, or something else?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.18,24,"If you discovered or suspected that medicines in your supply were fake, who would you report it to? Has anything like that ever happened?"
13L,Medicine Quality & Counterfeiting 3,e13478c453,26,Q1,Q1.19,40,"Overall, how big a problem do you think fake or poor quality medicines are for children under 5 in your community — is it a major problem, a minor problem, or not really a problem? What makes you say that?"
14,Malaria 5,b341cb4454,285,Q1,Q1.1,44,What are the health programs that you work on? Which ones take up the most time? Do you feel like you have enough time to do all the work you are asked to do? What do you wish you had more time to do?
14,Malaria 5,b341cb4454,285,Q1,Q1.2,67,"On a scale of 1 to 5 (1 being lowest and 5 highest), how do you rate the quality of training and supervision that you recieve? Do you ever have to choose between visiting households and doing something else you're asked to do - like attending meetings or collecting supplies? Has anyone added new tasks to your job in the past year without taking any task away?"
14,Malaria 5,b341cb4454,285,Q1,Q1.3,68,"When did you last run out of RDTs / ACTs (or any other required commodities or supply) before your next resupply? How often does this happen, and what do you do when this happens? When you are running low on RDTs or ACTs, how do you ask for more? Would it be possible for you to send a quick phone message each time you need to be resupplied?"
14,Malaria 5,b341cb4454,285,Q1,Q1.4,35,"Have you ever received medicines or RDTs that were expired, close to expiry, or damaged (for example by heat or water)? If yes, how often does this happen? What do you do with those medicines?"
14,Malaria 5,b341cb4454,285,Q1,Q1.5,40,"When a patient has a fever but their malaria rapid diagnostic test (RDT) is negative, what do you usually do? Out of 10 fever patients who test negative, how many do you think still end up taking an ACT (anti-malarial)?"
14,Malaria 5,b341cb4454,285,Q1,Q1.6,40,"Have you ever come across malaria rapid diagnostic tests (RDTs) that you felt gave the wrong result, or that you did not trust? If yes, how often does this happen?  What do you do when you doubt an RDT result?"
14,Malaria 5,b341cb4454,285,Q1,Q1.7,37,"When you do not have RDTs in stock but a patient has a fever, do you treat them for malaria anyway without a test? Out of 10 such patients, how many get an anti-malarial without being tested?"
14,Malaria 5,b341cb4454,285,Q1,Q1.8,38,"A full ACT course usually lasts 3 days. When you give someone ACTs, do you watch them take the first dose? For the remaining doses over the next days, how do you know whether they actually took them?"
14,Malaria 5,b341cb4454,285,Q1,Q1.9,48,"After you treat someone with ACTs, how often do they come back still sick, or get sick with malaria again within a couple of weeks? When that happens, what do you think the reason is? Is there a possibility that it wasn't malaria? How can you be sure?"
14,Malaria 5,b341cb4454,285,Q1,Q1.10,33,"When you identify a child under 5 with signs of severe malaria, do you give any treatment such as rectal artesunate before referring them? If yes, do you usually have it in stock?"
14,Malaria 5,b341cb4454,285,Q1,Q1.11,33,"Where do the ACTs and RDTs you use usually come from (for example government supply, an NGO, or bought yourself)? Can you tell which ACTs are the quality-assured ones? How do you identify?"
14,Malaria 5,b341cb4454,285,Q1,Q1.12,30,"Do you think the anti-malarials and RDTs people buy from drug shops, patent medicine vendors, or markets are more or less reliable than the ones you or the clinic provide?"
14,Malaria 5,b341cb4454,285,Q1,Q1.13,47,"When someone in your community has malaria, how often do they get treated somewhere you never see (for example a drug shop, patent medicine vendor, or pharmacy) instead of coming to you or the clinic? Out of 10 people with malaria, roughly how many go that route?"
14,Malaria 5,b341cb4454,285,Q1,Q1.14,26,"When a child has a fever, how often do families use antibiotics instead of, or alongside, an anti-malarial? How do they decide which one to use?"
14,Malaria 5,b341cb4454,285,Q1,Q1.15,22,"How common is it for people to keep leftover anti-malarials or antibiotics to use later, or to share them with family members?"
14,Malaria 5,b341cb4454,285,Q1,Q1.16,45,"Have you ever heard of Indoor Residual Spraying (IRS)? Have you or someone in your community used this to prevent malaria? If yes, did it work well in your opinion? Why do you think so? What are the challenges to using IRS in your community?"
14,Malaria 5,b341cb4454,285,Q1,Q1.17,19,What is the most common mistake people make when treating a child under-5 years old who has a fever?
14,Malaria 5,b341cb4454,285,Q1,Q1.18,30,"Compared with a few years ago, do the anti-malarials seem to work as well as they used to then? Have you noticed any change in the time of patient's recovery?"
14,Malaria 5,b341cb4454,285,Q1,Q1.19,37,"When health workers report your malaria testing and treatment numbers, is there ever an expectation that the numbers reach a certain target? Have you ever felt pressure to record more tests or treatments than actually took place?"
14,Malaria 5,b341cb4454,285,Q1,Q1.20,44,"If someone wanted to track down a specific malaria patient treated in your health facility last month, how could they do it? Do you keep records with patient names, their location, or phone numbers? If yes, would those patients usually be reachable by phone?"
14,Malaria 5,b341cb4454,285,Q1,Q1.21,12,When was the most recent mass ITN distribution campaign in your community?
14,Malaria 5,b341cb4454,285,Q1,Q1.22,12,Did this campaign target all households in your community or a sub-group?
14,Malaria 5,b341cb4454,285,Q1,Q1.23,16,"To the best of your knowledge, which NGOs and Institutions were involved in supporting this campaign?"
14,Malaria 5,5b770b1913,245,Q1,Q1.1,44,What are the health programs that you work on? Which ones take up the most time? Do you feel like you have enough time to do all the work you are asked to do? What do you wish you had more time to do?
14,Malaria 5,5b770b1913,245,Q1,Q1.2,67,"On a scale of 1 to 5 (1 being lowest and 5 highest), how do you rate the quality of training and supervision that you recieve? Do you ever have to choose between visiting households and doing something else you're asked to do - like attending meetings or collecting supplies? Has anyone added new tasks to your job in the past year without taking any task away?"
14,Malaria 5,5b770b1913,245,Q1,Q1.3,68,"When did you last run out of RDTs / ACTs (or any other required commodities or supply) before your next resupply? How often does this happen, and what do you do when this happens? When you are running low on RDTs or ACTs, how do you ask for more? Would it be possible for you to send a quick phone message each time you need to be resupplied?"
14,Malaria 5,5b770b1913,245,Q1,Q1.4,35,"Have you ever received medicines or RDTs that were expired, close to expiry, or damaged (for example by heat or water)? If yes, how often does this happen? What do you do with those medicines?"
